latency,type
1.0,start_enregistrement_EOG
112912.0,test_trigger_white
113011.0,test_trigger_black
113287.0,test_trigger_white
113387.0,test_trigger_black
113629.0,test_trigger_white
113728.0,test_trigger_black
113971.0,test_trigger_white
114070.0,test_trigger_black
114313.0,test_trigger_white
114411.0,test_trigger_black
114654.0,test_trigger_white
114753.0,test_trigger_black
114996.0,test_trigger_white
115095.0,test_trigger_black
115337.0,test_trigger_white
115436.0,test_trigger_black
115679.0,test_trigger_white
115778.0,test_trigger_black
116020.0,test_trigger_white
116120.0,test_trigger_black
116396.0,calibration_EOG_C_start
118443.0,calibration_EOG_C_end
118651.0,calibration_EOG_H_start
120697.0,calibration_EOG_H_end
120906.0,calibration_EOG_C_start
122952.0,calibration_EOG_C_end
123160.0,calibration_EOG_B_start
125206.0,calibration_EOG_B_end
125415.0,calibration_EOG_C_start
127461.0,calibration_EOG_C_end
127670.0,calibration_EOG_G_start
129716.0,calibration_EOG_G_end
129924.0,calibration_EOG_C_start
131970.0,calibration_EOG_C_end
132179.0,calibration_EOG_D_start
134225.0,calibration_EOG_D_end
134433.0,calibration_EOG_C_start
136480.0,calibration_EOG_C_end
136688.0,calibration_EOG_HG_start
138734.0,calibration_EOG_HG_end
138943.0,calibration_EOG_C_start
140989.0,calibration_EOG_C_end
141197.0,calibration_EOG_HD_start
143244.0,calibration_EOG_HD_end
143452.0,calibration_EOG_C_start
145498.0,calibration_EOG_C_end
145706.0,calibration_EOG_BG_start
147753.0,calibration_EOG_BG_end
147961.0,calibration_EOG_C_start
150007.0,calibration_EOG_C_end
150216.0,calibration_EOG_BD_start
152262.0,calibration_EOG_BD_end
152471.0,calibration_EOG_C_start
154517.0,calibration_EOG_C_end
177647.0,S_CF_start
177849.0,useless_black
187930.0,S_Q_start_&_CF_end
197663.0,S_Q_end
198247.0,S_L_start
199780.0,S_L_end
200296.0,S_L_start
201318.0,S_L_end
201629.0,S_L_start
202753.0,S_L_end
203098.0,S_L_start
204221.0,S_L_end
204532.0,S_L_start
205759.0,S_L_end
206070.0,S_L_start
207228.0,S_L_end
207573.0,S_L_start
208731.0,S_L_end
209042.0,S_L_start
210370.0,S_L_end
210716.0,S_access
210951.0,useless_black2
227626.0,S_visualization
237870.0,S_debriefing
416606.0,S_CF_start
416807.0,useless_black
426888.0,S_Q_start_&_CF_end
436621.0,S_Q_end
437205.0,S_L_start
438329.0,S_L_end
438639.0,S_L_start
439832.0,S_L_end
440143.0,S_L_start
441027.0,S_L_end
441338.0,S_L_start
442428.0,S_L_end
442739.0,S_L_start
443726.0,S_L_end
444037.0,S_L_start
445127.0,S_L_end
445438.0,S_L_start
446527.0,S_L_end
446838.0,S_L_start
447962.0,S_L_end
448307.0,S_access
448543.0,useless_black2
454798.0,S_visualization
465043.0,S_debriefing
519807.0,A_CF_start
520008.0,useless_black
530089.0,A_Q_start_&_CF_end
539822.0,A_Q_end
540406.0,A_L_start
541701.0,A_L_end
542012.0,A_L_start
543135.0,A_L_end
543446.0,A_L_start
544639.0,A_L_end
544984.0,A_L_start
546176.0,A_L_end
546487.0,A_L_start
547747.0,A_L_end
548058.0,A_L_start
549250.0,A_L_end
549561.0,A_L_start
550822.0,A_L_end
551133.0,A_L_start
552188.0,A_L_end
552567.0,A_access
552769.0,useless_black2
565788.0,A_visualization
576033.0,A_debriefing
779637.0,S_CF_start
779839.0,useless_black
789919.0,S_Q_start_&_CF_end
799652.0,S_Q_end
800237.0,S_L_start
801600.0,S_L_end
801911.0,S_L_start
803068.0,S_L_end
803379.0,S_L_start
804401.0,S_L_end
804712.0,S_L_start
806143.0,S_L_end
806454.0,S_L_start
807544.0,S_L_end
807855.0,S_L_start
809013.0,S_L_end
809323.0,S_L_start
810516.0,S_L_end
810827.0,S_L_start
811985.0,S_L_end
812296.0,S_L_start
813454.0,S_L_end
813799.0,S_L_start
815059.0,S_L_end
815404.0,S_access
815606.0,useless_black2
827429.0,S_visualization
837674.0,S_debriefing
897494.0,S_CF_start
897695.0,useless_black
907776.0,S_Q_start_&_CF_end
917509.0,S_Q_end
918093.0,S_L_start
919354.0,S_L_end
919664.0,S_L_start
920822.0,S_L_end
921133.0,S_L_start
922462.0,S_L_end
922773.0,S_L_start
923863.0,S_L_end
924174.0,S_L_start
925229.0,S_L_end
925540.0,S_L_start
926767.0,S_L_end
927112.0,S_L_start
928304.0,S_L_end
928615.0,S_L_start
929841.0,S_L_end
930152.0,S_L_start
931412.0,S_L_end
931723.0,S_L_start
933086.0,S_L_end
933431.0,S_access
933633.0,useless_black2
944261.0,S_visualization
954505.0,S_debriefing
1069052.0,V_CF_start
1069253.0,useless_black
1079334.0,V_Q_start_&_CF_end
1089067.0,V_Q_end
1089650.0,V_L_start
1090741.0,V_L_end
1091052.0,V_L_start
1091868.0,V_L_end
1092179.0,V_L_start
1093132.0,V_L_end
1093443.0,V_L_start
1094498.0,V_L_end
1094809.0,V_L_start
1095831.0,V_L_end
1096176.0,V_L_start
1097231.0,V_L_end
1097542.0,V_L_start
1098564.0,V_L_end
1098875.0,V_L_start
1100032.0,V_L_end
1100344.0,V_L_start
1101296.0,V_L_end
1101642.0,V_L_start
1102663.0,V_L_end
1102974.0,V_L_start
1103893.0,V_L_end
1104204.0,V_L_start
1105157.0,V_L_end
1105502.0,V_image
1108402.0,V_debriefing
1140380.0,V_CF_start
1140582.0,useless_black
1150663.0,V_Q_start_&_CF_end
1160395.0,V_Q_end
1160980.0,V_L_start
1161967.0,V_L_end
1162278.0,V_L_start
1163128.0,V_L_end
1163439.0,V_L_start
1164461.0,V_L_end
1164772.0,V_L_start
1165827.0,V_L_end
1166138.0,V_L_start
1167159.0,V_L_end
1167470.0,V_L_start
1168594.0,V_L_end
1168905.0,V_L_start
1169961.0,V_L_end
1170272.0,V_L_start
1171293.0,V_L_end
1171638.0,V_L_start
1172659.0,V_L_end
1172970.0,V_L_start
1174060.0,V_L_end
1174405.0,V_L_start
1175529.0,V_L_end
1175840.0,V_L_start
1177271.0,V_L_end
1177616.0,V_image
1180380.0,V_debriefing
1213588.0,V_CF_start
1213789.0,useless_black
1223871.0,V_Q_start_&_CF_end
1233603.0,V_Q_end
1234187.0,V_L_start
1235277.0,V_L_end
1235588.0,V_L_start
1236541.0,V_L_end
1236852.0,V_L_start
1237976.0,V_L_end
1238287.0,V_L_start
1239479.0,V_L_end
1239790.0,V_L_start
1240879.0,V_L_end
1241190.0,V_L_start
1242212.0,V_L_end
1242522.0,V_L_start
1243646.0,V_L_end
1243957.0,V_L_start
1244945.0,V_L_end
1245290.0,V_image
1256594.0,V_debriefing
1283106.0,S_CF_start
1283308.0,useless_black
1293389.0,S_Q_start_&_CF_end
1303121.0,S_Q_end
1303705.0,S_L_start
1304897.0,S_L_end
1305209.0,S_L_start
1306366.0,S_L_end
1306677.0,S_L_start
1307767.0,S_L_end
1308078.0,S_L_start
1309236.0,S_L_end
1309547.0,S_L_start
1310876.0,S_L_end
1311187.0,S_L_start
1312413.0,S_L_end
1312724.0,S_L_start
1313916.0,S_L_end
1314227.0,S_L_start
1315727.0,S_L_end
1316038.0,S_L_start
1317264.0,S_L_end
1317575.0,S_L_start
1318801.0,S_L_end
1319146.0,S_L_start
1320339.0,S_L_end
1320649.0,S_L_start
1321807.0,S_L_end
1322153.0,S_access
1322354.0,useless_black2
1331581.0,S_visualization
1341826.0,S_debriefing
1474956.0,V_CF_start
1475157.0,useless_black
1485239.0,V_Q_start_&_CF_end
1494971.0,V_Q_end
1495555.0,V_L_start
1496645.0,V_L_end
1496956.0,V_L_start
1498011.0,V_L_end
1498322.0,V_L_start
1499275.0,V_L_end
1499586.0,V_L_start
1500471.0,V_L_end
1500782.0,V_L_start
1501735.0,V_L_end
1502080.0,V_L_start
1503101.0,V_L_end
1503412.0,V_L_start
1504399.0,V_L_end
1504710.0,V_L_start
1505629.0,V_L_end
1505940.0,V_L_start
1506859.0,V_L_end
1507170.0,V_L_start
1508123.0,V_L_end
1508502.0,V_image
1519704.0,V_debriefing
1544098.0,A_CF_start
1544300.0,useless_black
1554381.0,A_Q_start_&_CF_end
1564113.0,A_Q_end
1564698.0,A_L_start
1566095.0,A_L_end
1566406.0,A_L_start
1567598.0,A_L_end
1567909.0,A_L_start
1569067.0,A_L_end
1569377.0,A_L_start
1570536.0,A_L_end
1570847.0,A_L_start
1572004.0,A_L_end
1572316.0,A_L_start
1573405.0,A_L_end
1573750.0,A_L_start
1574874.0,A_L_end
1575185.0,A_L_start
1576411.0,A_L_end
1576756.0,A_access
1576958.0,useless_black2
1587756.0,A_visualization
1598001.0,A_debriefing
1677942.0,A_CF_start
1678144.0,useless_black
1688225.0,A_Q_start_&_CF_end
1697957.0,A_Q_end
1698541.0,A_L_start
1699802.0,A_L_end
1700113.0,A_L_start
1701134.0,A_L_end
1701445.0,A_L_start
1702535.0,A_L_end
1702846.0,A_L_start
1703901.0,A_L_end
1704246.0,A_L_start
1705302.0,A_L_end
1705613.0,A_L_start
1706805.0,A_L_end
1707116.0,A_L_start
1708718.0,A_L_end
1709029.0,A_L_start
1710153.0,A_L_end
1710464.0,A_L_start
1711587.0,A_L_end
1711898.0,A_L_start
1713022.0,A_L_end
1713333.0,A_L_start
1714764.0,A_L_end
1715110.0,A_L_start
1716370.0,A_L_end
1716715.0,A_access
1716917.0,useless_black2
1735675.0,A_visualization
1745920.0,A_debriefing
1863574.0,A_CF_start
1863776.0,useless_black
1873857.0,A_Q_start_&_CF_end
1883589.0,A_Q_end
1884174.0,A_L_start
1885468.0,A_L_end
1885779.0,A_L_start
1886835.0,A_L_end
1887146.0,A_L_start
1888167.0,A_L_end
1888478.0,A_L_start
1889499.0,A_L_end
1889810.0,A_L_start
1891036.0,A_L_end
1891347.0,A_L_start
1892574.0,A_L_end
1892885.0,A_L_start
1894077.0,A_L_end
1894422.0,A_L_start
1895648.0,A_L_end
1895993.0,A_access
1896195.0,useless_black2
1909043.0,A_visualization
1919288.0,A_debriefing
2043844.0,A_CF_start
2044045.0,useless_black
2054126.0,A_Q_start_&_CF_end
2063858.0,A_Q_end
2064443.0,A_L_start
2065737.0,A_L_end
2066048.0,A_L_start
2067411.0,A_L_end
2067722.0,A_L_start
2069017.0,A_L_end
2069328.0,A_L_start
2070417.0,A_L_end
2070728.0,A_L_start
2071784.0,A_L_end
2072095.0,A_L_start
2073150.0,A_L_end
2073496.0,A_L_start
2074517.0,A_L_end
2074828.0,A_L_start
2075815.0,A_L_end
2076126.0,A_L_start
2077215.0,A_L_end
2077526.0,A_L_start
2078719.0,A_L_end
2079064.0,A_access
2079265.0,useless_black2
2089380.0,A_visualization
2099625.0,A_debriefing
2276379.0,V_CF_start
2276581.0,useless_black
2286662.0,V_Q_start_&_CF_end
2296394.0,V_Q_end
2296978.0,V_L_start
2298102.0,V_L_end
2298413.0,V_L_start
2299435.0,V_L_end
2299746.0,V_L_start
2300664.0,V_L_end
2300975.0,V_L_start
2302099.0,V_L_end
2302444.0,V_L_start
2303363.0,V_L_end
2303674.0,V_L_start
2304764.0,V_L_end
2305075.0,V_L_start
2305959.0,V_L_end
2306270.0,V_L_start
2307121.0,V_L_end
2307432.0,V_L_start
2308316.0,V_L_end
2308627.0,V_L_start
2309683.0,V_L_end
2310028.0,V_image
2340052.0,V_debriefing
